"assay","feature_id","tissue","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id","custom_annotation","relationship_to_gene","flanking_sequence"
"transcript-rna-seq","ENSG00000006210.7","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min",0.587781011563855,0.30693987842247,0.868622144705241,171.247596197119,-177.100495249166,4.12547071294278,5.91227384202339,4.04186176240063,5.30284925264155e-05,0.0273164721757869,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Resist.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_24_hr",-0.0271805145064974,-0.29090248868024,0.236541459667245,171.247596197119,-177.100495249166,-0.203170108519936,5.91227384202339,-0.202919389166411,0.83919803918343,0.999660577093274,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr",-0.143809043507776,-0.370618567878202,0.0830004808626496,171.247596197119,-177.100495249166,-1.2502852954112,5.91227384202339,-1.24629444686521,0.212656315824484,0.888364674728322,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min",0.190877406829512,-0.0915962529354457,0.473351066594469,171.247596197119,-177.100495249166,1.33199337822024,5.91227384202339,1.32766915758218,0.184287426820571,0.813732442243683,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr",0.0116369962341265,-0.250715211068297,0.27398920353655,171.247596197119,-177.100495249166,0.087440700376424,5.91227384202339,0.0873359022998,0.930404517127667,0.999984488297589,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_3.5_4_hr",-0.11047199289556,-0.326832191550985,0.105888205759865,171.247596197119,-177.100495249166,-1.00689325162145,5.91227384202339,-1.00434158512278,0.315213995846786,0.849831176353012,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_3.5_4_hr",0.0355750420522121,-0.0934187579108024,0.164568842015227,164.346299305313,-33.8540940738138,0.544012771190852,8.05939186268959,0.543083055960085,0.587072618315685,0.941991575578559,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min",0.0689178664131518,-0.0969523405401175,0.234788073366421,164.346299305313,-33.8540940738138,0.819295938513324,8.05939186268959,0.817591733013381,0.413590349614085,0.888122553934702,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min",-0.0370556213023718,-0.202806586687586,0.128695344082843,164.346299305313,-33.8540940738138,-0.440835578541163,8.05939186268959,-0.440179381938357,0.659807191534644,0.961154470784051,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","adipose","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr",-0.0391974356960905,-0.195286963500747,0.116892092108566,164.346299305313,-33.8540940738138,-0.495206235379966,8.05939186268959,-0.49443088718481,0.621001904912775,0.999984488297589,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
