tissue,assay,full_model,contrast,contrast_short,contrast_type,contrast_category,randomGroupCode,Timepoint,feature_id,logFC,CI.L_calculated,CI.R_calculated,degrees_of_freedom,logLik,t,AveExpr,z.std,p_value,adj_p_value,entrez_gene,gene_symbol,ensembl_gene,uniprot,refmet_name,refmet_id,kegg_id,custom_annotation,relationship_to_gene,flanking_sequence
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20976,0.56809068997232,0.345205016860948,0.790976363083693,158.328543826814,-37.9659969364675,5.03373469468105,0.978677569101056,4.84192808790252,1.28585302244832e-06,0.0003644107465618,6376.0,CX3CL1,ENSG00000006210,P78423,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20861,0.555706463685478,0.157528504717185,0.953884422653771,158.270132060205,-155.54364403536,2.75613906999944,0.280885067538706,2.72013822483624,0.0065254632674835,0.142116584068498,2668.0,GDNF,ENSG00000168621,P39905,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20650,0.350226684979893,0.0550654411138014,0.645387928845985,160.609765759998,-74.2319885689705,2.34318203834683,0.381278987133435,2.32003145556336,0.0203391757731097,0.21792751038159,7422.0,VEGFA,ENSG00000112715,P15692,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20276,0.349570731175738,-0.126649400669387,0.825790863020862,159.054824911626,-177.766033828465,1.4496190010755,0.0238781768068291,1.44267902395409,0.149110910829957,0.479768198062501,1508.0,CTSB,ENSG00000164733,P07858,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20251,0.15304295237011,-0.181684542174351,0.487770446914572,159.216223216616,-106.654658391585,0.902915472389142,0.0822438201154319,0.900376794419826,0.367919765819177,0.65187793518558,9518.0,GDF15,ENSG00000130513,Q99988,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20718,0.240037839316199,-0.537748656951782,1.01782433558418,170.291349210218,-250.309834876715,0.609407382772457,1.0739241342672,0.608125934637658,0.543103952620752,0.753141471368083,3303.0,HSPA1A,ENSG00000204389,P0DMV8,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20503,0.174116613182695,-0.39177189420718,0.74000512057257,166.059909913982,-191.939045786906,0.607535799970241,1.15840801297836,0.606270531917581,0.544335123291799,0.75379895253061,2247.0,FGF2,ENSG00000138685,P09038,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20106,-0.0668225151861961,-0.309305388916356,0.175660358543964,164.725960486894,-25.7129155306352,-0.544184353870487,-0.216419595630721,-0.543097378406598,0.587062757556637,0.786264581718105,1634.0,DCN,ENSG00000011465,P07585,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID21276,0.125595818687018,-0.416759744974001,0.667951382348037,159.523321918888,-199.821579064646,0.457341101298177,1.11956377065637,0.456477056325259,0.648046965880394,0.826536949282195,3569.0,IL6,ENSG00000136244,P05231,,,,,,
blood,prot-ol,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,ADUEndur,during_20_min,OID20101,-0.105669356412867,-0.695388979694941,0.484050266869207,159.919935280084,-214.046655276383,-0.353893079730813,1.25300852006986,-0.353267137154281,0.723888179999203,0.870016582747134,3569.0,IL6,ENSG00000136244,P05231,,,,,,
