"gene_symbol","atlas_name","feature_id","status"
"ADIPOQ","Adiponectin",NA,"absent_from_analyzed_table"
"APELA","ELA",NA,"absent_from_analyzed_table"
"APLN","Apelin",NA,"absent_from_analyzed_table"
"BDNF","BDNF",NA,"absent_from_analyzed_table"
"CLU","Clusterin",NA,"absent_from_analyzed_table"
"CTSB","Cathepsin B","OID20276","present"
"CX3CL1","Fractalkine","OID20976","present"
"DCN","Decorin","OID20106","present"
"ERFE","Myonectin",NA,"absent_from_analyzed_table"
"FGF2","FGF2","OID20503","present"
"FNDC5","Irisin",NA,"absent_from_analyzed_table"
"FST","Follistatin","OID20770","present"
"FSTL1","FSTL1",NA,"absent_from_analyzed_table"
"GDF15","GDF15","OID20251","present"
"GDNF","GDNF","OID20861","present"
"GPLD1","GPLD1",NA,"absent_from_analyzed_table"
"HSPA1A","HSP72","OID20718","present"
"HSPA1B","HSP72",NA,"absent_from_analyzed_table"
"IGF1","IGF-1",NA,"absent_from_analyzed_table"
"IL6","IL-6","OID20101","present"
"IL6","IL-6","OID21276","present"
"IL6","IL-6","OID20563","present"
"IL6","IL-6","OID20911","present"
"ITLN1","Omentin",NA,"absent_from_analyzed_table"
"KL","Klotho",NA,"absent_from_analyzed_table"
"NRG1","NRG-1",NA,"absent_from_analyzed_table"
"PF4","PF4",NA,"absent_from_analyzed_table"
"PRG4","Lubricin",NA,"absent_from_analyzed_table"
"SELENOP","SeP",NA,"absent_from_analyzed_table"
"TGFB2","TGF-beta2",NA,"absent_from_analyzed_table"
"VEGFA","VEGF","OID20650","present"
"VIP","VIP",NA,"absent_from_analyzed_table"
