"atlas_name","gene_symbol"
"FSTL1","FSTL1"
"ELA","APELA"
"NRG-1","NRG1"
"Fractalkine","CX3CL1"
"HSP72","HSPA1A"
"HSP72","HSPA1B"
"TGF-beta2","TGFB2"
"Omentin","ITLN1"
"GDF15","GDF15"
"Follistatin","FST"
"Decorin","DCN"
"Myonectin","ERFE"
"Lubricin","PRG4"
"VEGF","VEGFA"
"FGF2","FGF2"
"SeP","SELENOP"
"BDNF","BDNF"
"Cathepsin B","CTSB"
"GPLD1","GPLD1"
"Clusterin","CLU"
"PF4","PF4"
"VIP","VIP"
"GDNF","GDNF"
"Apelin","APLN"
"Adiponectin","ADIPOQ"
"IL-6","IL6"
"Irisin","FNDC5"
"IGF-1","IGF1"
"Klotho","KL"
