"tissue","assay","platform","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","feature_id","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value"
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","gamma-Aminobutyric acid",-0.174486830997804,-0.246763839490087,-0.102209822505521,684.066320208915,169.962847578404,-4.73999580098676,21.7907234352887,-4.70012657914835,2.60000281332913e-06,6.0666732311013e-05
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Valine",-0.0770928842641077,-0.110762435305083,-0.0434233332231325,684.089667472187,832.578401127051,-4.49564691319164,27.9105149694428,-4.46142060172325,8.14181122334238e-06,0.000167625525186461
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Alloisoleucine",0.510798512307467,0.242609914870886,0.778987109744048,692.718219947717,-737.419796376855,3.73956137776141,17.9555258964123,3.71945269103793,0.00019965493779055,0.00258811956395158
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Kynurenic acid",0.161100610880883,0.0134211611808039,0.308780060580962,684.982229528938,-324.318301838401,2.14185644494732,13.2879862705878,2.13751978981775,0.0325557378622783,0.100836356210596
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Carnitine",-0.0442017534163206,-0.0848596172520334,-0.00354388958060782,684.17696877825,698.712606770019,-2.13456940080911,24.8388232268695,-2.13025974642122,0.0331501748779306,0.101776852695401
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Leucine",-0.031954509750868,-0.0747466438371302,0.0108376243353942,684.438149407449,692.044270020507,-1.46616589758886,28.0774673391846,-1.46448581782305,0.143061255277172,0.289430285242835
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Isoleucine",-0.0346448840798494,-0.0827773653035694,0.0134875971438705,684.450286101806,592.968142846959,-1.41323761148383,27.128907915646,-1.41169752363749,0.158039042828577,0.312506581864417
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Aminobutyric acid",-0.0499614201848697,-0.120209181016278,0.0202863406465382,684.041221920767,174.87740693532,-1.39642499586139,12.7022443048987,-1.39492521125939,0.163038393635647,0.318790155153499
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","beta-Leucine",-0.0380917718631437,-0.0941386400721905,0.0179550963459031,684.697301522083,481.506249028655,-1.33442403147328,19.6064808304402,-1.33307520334843,0.18250712585956,0.345283751626195
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Aminoisobutyric acid",-0.0742281675664316,-0.194729217485506,0.0462728823526425,684.184993570412,-220.840973408169,-1.20946361197237,20.6698163032554,-1.20837937842475,0.226901368150548,0.401088277033797
