"tissue","assay","platform","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","feature_id","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value"
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Valine",-0.0770928842641077,-0.110762435305083,-0.0434233332231325,684.089667472187,832.578401127051,-4.49564691319164,27.9105149694428,-4.46142060172325,8.14181122334238e-06,0.000167625525186461
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Kynurenic acid",0.161100610880883,0.0134211611808039,0.308780060580962,684.982229528938,-324.318301838401,2.14185644494732,13.2879862705878,2.13751978981775,0.0325557378622783,0.100836356210596
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Leucine",-0.031954509750868,-0.0747466438371302,0.0108376243353942,684.438149407449,692.044270020507,-1.46616589758886,28.0774673391846,-1.46448581782305,0.143061255277172,0.289430285242835
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Isoleucine",-0.0346448840798494,-0.0827773653035694,0.0134875971438705,684.450286101806,592.968142846959,-1.41323761148383,27.128907915646,-1.41169752363749,0.158039042828577,0.312506581864417
"blood","metab","metab-u-rpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Ketoleucine",0.284185424223526,0.167687956642764,0.400682891804289,679.854141729317,-32.4173204992083,4.78973071352713,23.2592791537668,4.74810254648297,2.05333925763956e-06,2.9920086325605e-05
"blood","metab","metab-u-rppos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_20_min","Kynurenine",0.117185829900553,0.0154242300166163,0.218947429784489,672.821492945058,-14.5933393829796,2.26108904039157,19.3574929289604,2.255996558376,0.0240708466712267,0.137130884066383
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_40_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_40_min + group_timepointADUControl.pre_exercise","Endur.during_40_min - Control.during_40_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_40_min","Valine",-0.0932736301717725,-0.12717992318026,-0.0593673371632852,684.089667472187,832.578401127051,-5.40124055969828,27.9105149694428,-5.34316539866565,9.13373498372001e-08,1.10234732562138e-06
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_40_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_40_min + group_timepointADUControl.pre_exercise","Endur.during_40_min - Control.during_40_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_40_min","Kynurenic acid",0.31989491550514,0.171207700301172,0.468582130709107,684.982229528938,-324.318301838401,4.22421597755614,13.2879862705878,4.19569624768604,2.72034623191685e-05,0.000216391177538841
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_40_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_40_min + group_timepointADUControl.pre_exercise","Endur.during_40_min - Control.during_40_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_40_min","Isoleucine",-0.0572296655902278,-0.105695151288351,-0.00876417989210423,684.450286101806,592.968142846959,-2.31847477543674,27.128907915646,-2.3131184590885,0.0207161270882776,0.0594315121385013
"blood","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.during_40_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_40_min + group_timepointADUControl.pre_exercise","Endur.during_40_min - Control.during_40_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","during_40_min","Leucine",-0.0479931694244264,-0.0910814772740581,-0.00490486157479481,684.438149407449,692.044270020507,-2.18692711726911,28.0774673391846,-2.18233884618383,0.0290845340434942,0.0789115264745966
