"assay","feature_id","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id","custom_annotation","relationship_to_gene","flanking_sequence"
"prot-ol","OID20051","3190","HNRNPK","ENSG00000165119","P61978",NA,NA,NA,NA,NA,NA
"prot-ol","OID20052","1051","CEBPB","ENSG00000172216","P17676",NA,NA,NA,NA,NA,NA
"prot-ol","OID20055","1394","CRHR1","ENSG00000120088","P34998",NA,NA,NA,NA,NA,NA
"prot-ol","OID20056","85480","TSLP","ENSG00000145777","Q969D9",NA,NA,NA,NA,NA,NA
"prot-ol","OID20057","4238","MFAP3","ENSG00000037749","P55082",NA,NA,NA,NA,NA,NA
"prot-ol","OID20059","50506","DUOX2","ENSG00000140279","Q9NRD8",NA,NA,NA,NA,NA,NA
"prot-ol","OID20061","1489","CTF1","ENSG00000150281","Q16619",NA,NA,NA,NA,NA,NA
"prot-ol","OID20062","1109","AKR1C4","ENSG00000198610","P17516",NA,NA,NA,NA,NA,NA
"prot-ol","OID20063","50865","HEBP1","ENSG00000013583","Q9NRV9",NA,NA,NA,NA,NA,NA
"prot-ol","OID20064","5268","SERPINB5","ENSG00000206075","P36952",NA,NA,NA,NA,NA,NA
"prot-ol","OID20066","2869","GRK5","ENSG00000198873","P34947",NA,NA,NA,NA,NA,NA
"prot-ol","OID20067","128434","VSTM2L","ENSG00000132821","Q96N03",NA,NA,NA,NA,NA,NA
"prot-ol","OID20068","7072","TIA1","ENSG00000116001","P31483",NA,NA,NA,NA,NA,NA
"prot-ol","OID20069","10330","CNPY2","ENSG00000257727","Q9Y2B0",NA,NA,NA,NA,NA,NA
"prot-ol","OID20070","1406","CRX","ENSG00000105392","O43186",NA,NA,NA,NA,NA,NA
"prot-ol","OID20071","10791","VAMP5","ENSG00000168899","O95183",NA,NA,NA,NA,NA,NA
"prot-ol","OID20072","64420","SUSD1","ENSG00000106868","Q6UWL2",NA,NA,NA,NA,NA,NA
"prot-ol","OID20073","23186","RCOR1","ENSG00000089902","Q9UKL0",NA,NA,NA,NA,NA,NA
"prot-ol","OID20074","7124","TNF","ENSG00000204490","P01375",NA,NA,NA,NA,NA,NA
"prot-ol","OID20075","763","CA5A","ENSG00000174990","P35218",NA,NA,NA,NA,NA,NA
"prot-ol","OID20076","2172","FABP6","ENSG00000170231","P51161",NA,NA,NA,NA,NA,NA
