"tissue","assay","platform","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","feature_id","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value"
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Carnitine",-0.3524733214036,-0.440612187068228,-0.264334455738972,239.893990089372,162.692861488535,-7.87874479226358,27.7283484920743,-7.41267539643611,1.23776589584437e-13,1.05519542620732e-11
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","3-Dehydroxycarnitine",0.305179935187684,0.206861911103366,0.403497959272003,221.13760097042,36.6651852405195,6.1165205598019,23.3266660166577,5.8772633480831,4.17104377107225e-09,2.03189417990805e-07
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Isoleucine",0.0873444305911129,-0.0693661427229786,0.244055003905204,236.254761015761,-66.3791041487201,1.09769172653498,27.190104873978,1.0952910126401,0.273389163617734,0.56500427147665
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Leucine",0.0718747087562726,-0.0677540394911142,0.211503457003659,232.587868236188,-30.5669960242722,1.01384640365305,28.0069541877165,1.01177983927808,0.311643331572577,0.616814035709531
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","3-Hydroxynorvaline",0.0412732807226011,-0.151107155531761,0.233653716976963,220.590809312524,-233.228126891857,0.422697330100625,12.763760810992,0.422160412704048,0.672907934495095,0.864778978795363
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","N-Acetylleucine",-0.0619178491089816,-0.351874554121422,0.228038855903458,254.151975048099,-276.426486144127,-0.420409692300661,13.1292245934737,-0.419954057773957,0.674519015980832,0.864778978795363
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","gamma-Aminobutyric acid",0.000192826136920843,-0.164995528274688,0.16538118054853,221.404697829013,-159.16199963309,0.0022998337655864,22.9230167091997,0.00229736724789342,0.998166967754838,0.999906610535685
"muscle","metab","metab-u-ionpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Lactic acid",-0.321475721284084,-0.601055168062119,-0.04189627450605,271.284815617895,-237.625177761942,-2.2640236839865,25.345093936798,-2.251055030783,0.0243820521306209,0.170674364914346
"muscle","metab","metab-u-ionpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Valine",0.0568626459783346,-0.141621223063783,0.255346515020452,247.885428333643,-124.579885232706,0.564181816465096,22.5099180626246,0.563452196469417,0.573127002869541,0.85877540277949
"muscle","metab","metab-u-rpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Ketoleucine",0.724632335586012,0.37351704422344,1.07574762694858,277.398078899847,-315.905979594103,4.06180462931642,17.3035466725524,4.00273594442683,6.26141729608294e-05,0.00179493962487711
