"tissue","assay","platform","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","feature_id","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value"
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Isoleucine",0.0873444305911129,-0.0693661427229786,0.244055003905204,236.254761015761,-66.3791041487201,1.09769172653498,27.190104873978,1.0952910126401,0.273389163617734,0.56500427147665
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Leucine",0.0718747087562726,-0.0677540394911142,0.211503457003659,232.587868236188,-30.5669960242722,1.01384640365305,28.0069541877165,1.01177983927808,0.311643331572577,0.616814035709531
"muscle","metab","metab-u-ionpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Valine",0.0568626459783346,-0.141621223063783,0.255346515020452,247.885428333643,-124.579885232706,0.564181816465096,22.5099180626246,0.563452196469417,0.573127002869541,0.85877540277949
"muscle","metab","metab-u-rpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Ketoleucine",0.724632335586012,0.37351704422344,1.07574762694858,277.398078899847,-315.905979594103,4.06180462931642,17.3035466725524,4.00273594442683,6.26141729608294e-05,0.00179493962487711
"muscle","metab","metab-u-rppos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min","Kynurenine",-0.0699749265217022,-0.279109693552232,0.139159840508828,249.859513199934,-144.69902305086,-0.658711201722981,16.4050110658692,-0.657846562822538,0.510636730866542,0.777666947925192
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr","Leucine",-0.0916687834373917,-0.244596197081281,0.0612586302064979,232.587868236188,-30.5669960242722,-1.18049240083659,28.0069541877165,-1.17771254052331,0.238911225718546,0.982909658139927
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr","Isoleucine",-0.0588041096554761,-0.230313526022852,0.1127053067119,236.254761015761,-66.3791041487201,-0.67517241605765,27.190104873978,-0.674218677047924,0.500172297140411,0.992915439662266
"muscle","metab","metab-u-ionpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr","Valine",0.0229614464360992,-0.190654023165229,0.236576916037428,247.885428333643,-124.579885232706,0.211649487688127,22.5099180626246,0.211439453017248,0.832544373513739,0.98686679451935
"muscle","metab","metab-u-rpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr","Ketoleucine",-0.0440286272581538,-0.415844953337927,0.32778769882162,277.398078899847,-315.905979594103,-0.233033678328573,17.3035466725524,-0.232828065536477,0.81589491859465,0.986702353911112
"muscle","metab","metab-u-rppos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr","Kynurenine",0.0252475099536689,-0.200324716974343,0.250819736881681,249.859513199934,-144.69902305086,0.220321440250035,16.4050110658692,0.220115879106437,0.825780908334887,0.963836502974127
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr","Isoleucine",-0.107457894400646,-0.263046579221203,0.0481307904199107,236.254761015761,-66.3791041487201,-1.36017587199465,27.190104873978,-1.35635136857239,0.174987398614806,0.47736562342119
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr","Leucine",-0.0398768494512218,-0.178524585228012,0.0987708863255681,232.587868236188,-30.5669960242722,-0.566461739157081,28.0069541877165,-0.565711727509017,0.571589761650547,0.866276038768162
"muscle","metab","metab-u-ionpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr","Valine",0.0121033777120374,-0.17884237440538,0.203049129829455,247.885428333643,-124.579885232706,0.124830708609701,22.5099180626246,0.124705843484935,0.900756431086898,0.934919290040965
"muscle","metab","metab-u-rpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr","Ketoleucine",-0.29838365867624,-0.632948145844625,0.0361808284921448,277.398078899847,-315.905979594103,-1.75535321857731,17.3035466725524,-1.74919322293231,0.080257625158077,0.854230136962002
"muscle","metab","metab-u-rppos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr","Kynurenine",-0.147759416423614,-0.349901833408801,0.0543830005615719,249.859513199934,-144.69902305086,-1.43908606399605,16.4050110658692,-1.4350304845138,0.151278410898065,0.558295212940425
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min","Leucine",-0.0753393149464543,-0.211205492456513,0.0605268625636046,232.587868236188,-30.5669960242722,-1.09215778854062,28.0069541877165,-1.0897465904088,0.275824786794438,0.552571509645299
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min","Isoleucine",-0.058435297135599,-0.210933635611203,0.0940630413400053,236.254761015761,-66.3791041487201,-0.754672113926723,27.190104873978,-0.753493294240222,0.451153539413172,0.702481081917313
"muscle","metab","metab-u-ionpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min","Valine",-0.164731132440785,-0.355368693325748,0.0259064284441774,247.885428333643,-124.579885232706,-1.70176419858285,22.5099180626246,-1.69524498017576,0.0900289573397833,0.190970515569237
"muscle","metab","metab-u-rpneg","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min","Ketoleucine",1.05489614476287,0.714761922688268,1.39503036683748,277.398078899847,-315.905979594103,6.10420175299138,17.3035466725524,5.91514200470729,3.31589375363179e-09,1.42583431406167e-07
"muscle","metab","metab-u-rppos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min","Kynurenine",-0.016137894813081,-0.218672837488486,0.186397047862324,249.859513199934,-144.69902305086,-0.156869964200441,16.4050110658692,-0.156721691136142,0.87546419127388,0.948396970949024
"muscle","metab","metab-u-hilicpos","~ 0 + group_timepoint +  BMI + calculatedAge + codedsiteid + raw_intensity_post + Sex + (1 | pid)","group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_3.5_4_hr","Leucine",-0.323915418201796,-0.471133118361692,-0.176697718041901,232.587868236188,-30.5669960242722,-4.33305692819481,28.0069541877165,-4.25185970703188,2.12002658398832e-05,0.00277033719359469
