"assay","feature_id","tissue","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id","custom_annotation","relationship_to_gene","flanking_sequence"
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr",-0.0182939002741231,-0.222672736914387,0.186084936366141,238.047404073553,-171.092978090011,-0.176265473735218,2.04140082758347,-0.176088878609632,0.860224117990284,0.94555834867832,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise","Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta)","Endur_vs_Resist","EE-RE","ADUEndur","post_3.5_4_hr",0.0331675580166371,-0.136132704577873,0.202467820611147,238.047404073553,-171.092978090011,0.385771825571803,2.04140082758347,0.385345903139174,0.699981156612223,0.823662787919543,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Resist.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_24_hr",-0.261041650323393,-0.452828898489934,-0.0692544021568526,238.047404073553,-171.092978090011,-2.68071067833102,2.04140082758347,-2.65904396551875,0.00783627363132619,0.0399287164751741,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min",-0.0865737034988756,-0.275944803657056,0.102797396659304,238.047404073553,-171.092978090011,-0.900272244947799,2.04140082758347,-0.898686593316037,0.368819620052889,0.731392565459836,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise","Endur.post_24_hr - Resist.post_24_hr (delta-delta)","Endur_vs_Resist","EE-RE","ADUEndur","post_24_hr",0.592424226022125,0.430778760456206,0.754069691588043,238.047404073553,-171.092978090011,7.21768067426981,2.04140082758347,6.87622585619059,6.1459034929028e-12,8.38534882349855e-10,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min",-0.103611309209114,-0.298975522858612,0.0917529044403845,238.047404073553,-171.092978090011,-1.0443685326461,2.04140082758347,-1.04225566394532,0.297293161841074,0.673200219071662,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise","Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta)","Endur_vs_Resist","EE-RE","ADUEndur","post_15_30_45_min",-0.0170376057102382,-0.183438721928497,0.149363510508021,238.047404073553,-171.092978090011,-0.201608593290992,2.04140082758347,-0.201408718170536,0.840378998778441,0.982406799229003,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_3.5_4_hr",-0.0514614582907602,-0.251170565572938,0.148247648991418,238.047404073553,-171.092978090011,-0.507438071080939,2.04140082758347,-0.506817605217,0.612282802390987,0.746101032231532,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000083123.15","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr",0.331382575698731,0.143157861383449,0.519607290014014,238.047404073553,-171.092978090011,3.46712688525525,2.04140082758347,3.42388084014038,0.000617336837698156,0.0134276862365729,"594","BCKDHB","ENSG00000083123",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000103507.14","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise","Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta)","Endur_vs_Resist","EE-RE","ADUEndur","post_15_30_45_min",-0.0463347412777271,-0.135428643321028,0.0427591607655741,228.326420465699,35.5540837056308,-1.02441781096521,5.61608807153743,-1.02226064475604,0.306657554603559,0.85329631482659,"10295","BCKDK","ENSG00000103507",NA,NA,NA,NA,NA,NA,NA
