"assay","feature_id","tissue","full_model","contrast","contrast_short","contrast_type","contrast_category","randomGroupCode","Timepoint","logFC","CI.L_calculated","CI.R_calculated","degrees_of_freedom","logLik","t","AveExpr","z.std","p_value","adj_p_value","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id","custom_annotation","relationship_to_gene","flanking_sequence"
"transcript-rna-seq","ENSG00000006210.7","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min",3.62605042265678,3.27631629983293,3.97578454548064,263.129401774916,-341.546512460384,20.4098405755052,3.18067417979707,15.9402162586385,3.33198728078686e-57,5.50077780185103e-53,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min",2.58539303862504,2.24158143033715,2.92920464691294,263.129401774916,-341.546512460384,14.8038182147977,3.18067417979707,12.6810207845617,7.53441974115981e-37,1.55482169383509e-33,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr",0.536484088624811,0.159574205283088,0.913393971966534,263.129401774916,-341.546512460384,2.8021440407346,3.18067417979707,2.77983730672207,0.00543861384568715,0.0416447476708948,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Resist.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_24_hr",-0.171985721380723,-0.50421694395622,0.160245501194775,263.129401774916,-341.546512460384,-1.01915232283924,3.18067417979707,-1.01724398385089,0.309037376977201,0.54989200867823,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_3.5_4_hr",0.282633232393965,-0.0853989568127586,0.650665421600689,263.129401774916,-341.546512460384,1.51193551165871,3.18067417979707,1.50736232737433,0.131717809617627,0.251287983210983,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000006210.7","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Endur.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_24_hr",0.127376763356873,-0.208772736035723,0.463526262749469,263.129401774916,-341.546512460384,0.745955703294601,3.18067417979707,0.744905960040592,0.456328571859426,0.759577317074328,"6376","CX3CL1","ENSG00000006210",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_15_30_45_min",-0.0665228776139832,-0.241529891687029,0.108484136459062,294.697756558424,-74.0178315088786,-0.748135689279792,6.98169957463554,-0.747130586801153,0.454984738726617,0.786362826885778,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Resist.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_24_hr",0.467068694888864,0.298971542617864,0.635165847159864,294.697756558424,-74.0178315088786,5.46898441280208,6.98169957463554,5.32920101493,9.86457682566192e-08,3.37172461314395e-06,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","ADUResist","post_15_30_45_min",-0.131113008104877,-0.300883515064282,0.0386574988545284,294.697756558424,-74.0178315088786,-1.52006390651208,6.98169957463554,-1.51570971556197,0.129592769877915,0.479010255595732,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
"transcript-rna-seq","ENSG00000064393.16","muscle","~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid)","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise","Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta)","exercise_with_controls","EE-CON","ADUEndur","post_3.5_4_hr",-0.0234674945299007,-0.206815724491584,0.159880735431783,294.697756558424,-74.0178315088786,-0.251887422661937,6.98169957463554,-0.251662681264962,0.801301804759122,0.920481191603618,"28996","HIPK2","ENSG00000064393",NA,NA,NA,NA,NA,NA,NA
