"candidate_id","candidate_name","mapping_status","identity_resolved","source_object","tissue","assay","platform","evidence_layer","interpretation_scope","feature_id","matched_gene","contrast_type","contrast_category","Timepoint","logFC","CI.L_calculated","CI.R_calculated","p_value","adj_p_value","direction","review_direction","direction_comparison","table3_screen_bh"
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","EE-CON","during_40_min",0.432070326006628,-0.494468563124858,1.35860921513811,0.358515983179573,0.621047858392976,"up","up;unchanged","no_detected_change",0.816422535953483
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","EE-CON","post_15_30_45_min",0.217972761892989,-0.706100431694588,1.14204595548057,0.641992280072882,0.929216609666265,"up","up;unchanged","no_detected_change",0.838967184186153
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","EE-CON","during_20_min",0.245536411464089,-0.661243136406587,1.15231595933476,0.593589096198169,0.788521669261539,"up","up;unchanged","no_detected_change",0.838967184186153
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","RE-CON","post_15_30_45_min",-0.898880555555555,-1.74923764159342,-0.048523469517691,0.0384174969712906,0.263115215069171,"down","up;unchanged","no_detected_change",0.285020470909221
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","EE-CON","post_3.5_4_hr",-0.100563656105271,-1.27021011833056,1.06908280612002,0.865426129399842,0.966856029307663,"down","up;unchanged","no_detected_change",0.930130886738148
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","RE-CON","post_24_hr",-0.377256000158037,-1.45724523138579,0.702733231069714,0.491425931129773,0.719753957898557,"down","up;unchanged","no_detected_change",0.831749830242007
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","EE-CON","post_24_hr",-0.783903932331986,-1.88386436912219,0.316056504458218,0.161302953117757,0.986437074865836,"down","up;unchanged","no_detected_change",0.675574831957718
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","RE-CON","post_10_min",-0.614378247288304,-1.47707023924616,0.248313744669551,0.161550503294237,0.556931377588815,"down","up;unchanged","no_detected_change",0.675574831957718
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","EE-CON","post_10_min",-0.201743350440671,-1.10852289831127,0.705036197429927,0.661004938712613,0.926453014990873,"down","up;unchanged","no_detected_change",0.844617421688339
"T3_03","Angiopoietin 1","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20740","ANGPT1","exercise_with_controls","RE-CON","post_3.5_4_hr",-0.294628249974875,-1.34778642892136,0.758529928971612,0.58150895848709,0.962028136058094,"down","up;unchanged","no_detected_change",0.838967184186153
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","RE-CON","post_15_30_45_min",-0.304472222222223,-0.549131668900566,-0.0598127755438797,0.0150478862172901,0.163997830671796,"down","up","no_detected_change",0.151922913526056
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","RE-CON","post_24_hr",-0.3009463176008,-0.615865384678248,0.0139727494766486,0.0609362719283369,0.392969968056837,"down","up","no_detected_change",0.378793041716689
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","EE-CON","post_10_min",0.054084555879393,-0.206999387013242,0.315168498772028,0.683015930696324,0.941472348051256,"up","up","no_detected_change",0.863152000330519
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","EE-CON","post_24_hr",0.0182880005611099,-0.301450463331902,0.338026464454121,0.910212328624223,0.990616573813196,"up","up","no_detected_change",0.952436150425518
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","RE-CON","post_10_min",-0.2552882942333,-0.503847362379114,-0.0067292260874868,0.0441808737300444,0.319488080397867,"down","up","no_detected_change",0.298870616409124
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","EE-CON","post_3.5_4_hr",0.419381412585937,0.0796842511340266,0.759078574037847,0.0158528257592406,0.493821649558619,"up","up","no_detected_change",0.151922913526056
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","EE-CON","during_20_min",-0.110933301263465,-0.372017244156147,0.150150641629218,0.402662351641991,0.665387193023197,"down","up","no_detected_change",0.831749830242007
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","EE-CON","during_40_min",0.154627172267981,-0.112703370362673,0.421957714898635,0.255046328907665,0.517562661014596,"up","up","no_detected_change",0.773692086697795
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","RE-CON","post_3.5_4_hr",0.0361897403263677,-0.27053890571279,0.342918386365525,0.816066410158197,0.984159222221745,"up","up","no_detected_change",0.92348838395651
"T3_04","Angiopoietin-like protein 4","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20703","ANGPTL4","exercise_with_controls","EE-CON","post_15_30_45_min",-0.118585931683114,-0.384786980222792,0.147615116856563,0.380316647155396,0.829781197929607,"down","up","no_detected_change",0.831749830242007
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","EE-CON","post_10_min",0.301787118543749,0.0789014454323654,0.524672791655132,0.00827368283511482,0.260529079496838,"up","up","no_detected_change",0.105719280670912
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","RE-CON","post_24_hr",-0.0641008909414583,-0.332746237802072,0.204544455919155,0.638141945501281,0.791810102255092,"down","up","no_detected_change",0.838967184186153
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","EE-CON","post_3.5_4_hr",0.234084678382904,-0.0557834043322433,0.523952761098052,0.112724944829928,0.840104135438625,"up","up","no_detected_change",0.580044154273771
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","EE-CON","post_24_hr",0.149723489062961,-0.1230939787245,0.422540956850422,0.280082705158534,0.986437074865836,"up","up","no_detected_change",0.773692086697795
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","RE-CON","post_3.5_4_hr",0.08460704296675,-0.17707452124258,0.346288607176081,0.524065482964744,0.962028136058094,"up","up","no_detected_change",0.831749830242007
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","EE-CON","during_40_min",0.560544271107797,0.332354424806367,0.788734117409227,2.88885102950083e-06,0.00022741677271126,"up","up","consistent_with_review",4.74596954846565e-05
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","RE-CON","post_15_30_45_min",0.115630555555556,-0.0932423416707802,0.324503452781892,0.275901861563517,0.595238737377178,"up","up","no_detected_change",0.773692086697795
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","EE-CON","post_15_30_45_min",0.228112838021904,0.000866961926370674,0.455358714117436,0.0491427086991057,0.486348189620916,"up","up","no_detected_change",0.31396730557762
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","EE-CON","during_20_min",0.56809068997232,0.345205016860948,0.790976363083693,1.28585302244832e-06,0.000364410746561854,"up","up","consistent_with_review",2.27497073202395e-05
"T3_09","Fractalkine","gene",TRUE,"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","protein","circulating_abundance","OID20976","CX3CL1","exercise_with_controls","RE-CON","post_10_min",0.156881651890685,-0.055302138499477,0.369065442280847,0.146200131411415,0.548752985009452,"up","up","no_detected_change",0.659333925973048
