tissue,assay,platform,contrast,contrast_category,Timepoint,n_features,source_FDR_hits,max_BH_difference
adipose,prot-pr,prot-pr,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,EE-CON,post_3.5_4_hr,7056,305,1.3423290257108533e-14
adipose,prot-pr,prot-pr,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,EE-RE,post_3.5_4_hr,7056,12,4.096029071476437e-14
adipose,prot-pr,prot-pr,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,RE-CON,post_3.5_4_hr,7056,2,5.699607452669397e-14
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,EE-CON,post_15_30_45_min,20090,57,3.645000967722467e-14
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,EE-RE,post_15_30_45_min,20090,1,6.894484982922222e-14
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,EE-CON,post_24_hr,20090,3,2.0539125955565396e-13
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,EE-RE,post_24_hr,20090,0,6.661338147750939e-16
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,EE-CON,post_3.5_4_hr,20090,3,6.597500323834993e-14
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,EE-RE,post_3.5_4_hr,20090,0,2.347011474057581e-13
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,RE-CON,post_15_30_45_min,20090,34,3.7386760354252146e-14
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,RE-CON,post_24_hr,20090,0,3.3673064336881e-13
adipose,transcript-rna-seq,transcript-rna-seq,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,RE-CON,post_3.5_4_hr,20090,31,5.044575868140555e-14
blood,prot-ol,prot-ol,group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,EE-CON,during_20_min,1417,33,4.628242233906121e-15
blood,prot-ol,prot-ol,group_timepointADUEndur.during_40_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_40_min + group_timepointADUControl.pre_exercise,EE-CON,during_40_min,1417,133,2.2750898387435825e-15
blood,prot-ol,prot-ol,group_timepointADUEndur.post_10_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_10_min + group_timepointADUControl.pre_exercise,EE-CON,post_10_min,1417,18,9.613837503863465e-15
blood,prot-ol,prot-ol,group_timepointADUEndur.post_10_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_10_min + group_timepointADUResist.pre_exercise,EE-RE,post_10_min,1417,0,1.942890293094024e-15
blood,prot-ol,prot-ol,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,EE-CON,post_15_30_45_min,1417,7,1.96787031114809e-14
blood,prot-ol,prot-ol,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,EE-RE,post_15_30_45_min,1417,0,1.1102230246251565e-14
blood,prot-ol,prot-ol,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,EE-CON,post_24_hr,1417,1,4.3298697960381105e-14
blood,prot-ol,prot-ol,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,EE-RE,post_24_hr,1417,1,9.936496070395151e-15
blood,prot-ol,prot-ol,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,EE-CON,post_3.5_4_hr,1417,8,1.831521045936313e-14
blood,prot-ol,prot-ol,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,EE-RE,post_3.5_4_hr,1417,0,3.1086244689504383e-15
blood,prot-ol,prot-ol,group_timepointADUResist.post_10_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_10_min + group_timepointADUControl.pre_exercise,RE-CON,post_10_min,1417,43,5.998673779927799e-15
blood,prot-ol,prot-ol,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,RE-CON,post_15_30_45_min,1417,48,6.935424456955275e-15
blood,prot-ol,prot-ol,group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,RE-CON,post_24_hr,1417,2,9.797718192317006e-15
