source_object,tissue,assay,platform,feature_id,gene_symbol,contrast,contrast_short,contrast_type,contrast_category,Timepoint,full_model,logFC,CI.L_calculated,CI.R_calculated,p_value,adj_p_value,t,z.std,time_label,time_order,measurement,bh_recomputed,p_rank_in_assay,n_features_in_assay,source_significant,holm_CCN1_direct_tests
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000142871.18,CCN1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta),Endur_vs_Resist,EE-RE,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.675841871927922,0.302090576668943,1.0495931671869,0.000442760311428,0.234080385699735,3.56179737096807,3.51319025744246,Post 45 min,3.0,Adipose RNA,0.23408038569969786,38.0,20090,False,0.00442760311428
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000142871.18,CCN1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.0590979380617043,-0.371215362605429,0.253019486482021,0.709314983446092,0.999161799173372,-0.373288661359326,-0.372776246149538,Post 4 h,4.0,Adipose RNA,0.9991617991733723,14212.0,20090,False,1.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000142871.18,CCN1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,Endur.post_24_hr - Resist.post_24_hr (delta-delta),Endur_vs_Resist,EE-RE,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.0894451103139104,-0.288502810910037,0.467393031537858,0.641424935976451,0.999827188422841,0.466332557521782,0.465707426287926,Post 24 h,5.0,Adipose RNA,0.9998271884228411,12522.0,20090,False,1.0
ADIPOSE_PROT_PR_DA,adipose,prot-pr,prot-pr,O00622,CCN1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),-0.160286540527937,-0.514704182868587,0.194131101812712,0.365406203339055,0.717513335265541,-0.916383687413208,-0.905111720828404,Post 4 h,4.0,Adipose protein,0.7175133352655416,3593.0,7056,False,1.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000142871.18,CCN1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta),Endur_vs_Resist,EE-RE,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.556976480318736,-0.985707499731072,-0.128245460906399,0.0110515796618869,0.219555389456186,-2.555840655728,-2.54106365553293,Post 15 min,3.0,Muscle RNA,0.21955538945618633,831.0,16509,False,0.0884126372950952
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000142871.18,CCN1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-2.21823756073107,-2.70371914894593,-1.7327559725162,2.66107834231076e-17,2.4406523529560203e-15,-8.99110171563252,-8.46055507598388,Post 3.5 h,4.0,Muscle RNA,2.4406523529560187e-15,180.0,16509,True,3.725509679235064e-16
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000142871.18,CCN1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,Endur.post_24_hr - Resist.post_24_hr (delta-delta),Endur_vs_Resist,EE-RE,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.85810145934523,-1.32896668593171,-0.387236232758749,0.0003926441513091,0.0039816721707385,-3.58674611673404,-3.54497914489147,Post 24 h,5.0,Muscle RNA,0.0039816721707382876,1628.0,16509,True,0.0043190856644001
MUSCLE_PROT_PR_DA,muscle,prot-pr,prot-pr,O00622,CCN1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta),Endur_vs_Resist,EE-RE,post_15_30_45_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.0359135514834024,-0.163758972507184,0.235586075473989,0.723475320950862,0.999972761661199,0.354209713704612,0.353817949277072,Post 15 min,3.0,Muscle protein,0.999972761661199,4323.0,6211,False,1.0
MUSCLE_PROT_PR_DA,muscle,prot-pr,prot-pr,O00622,CCN1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),-0.808667872551926,-1.01491303837712,-0.602422706726731,2.48791435254844e-13,7.72621802183917e-10,-7.72071479682652,-7.31955670460679,Post 3.5 h,4.0,Muscle protein,7.726218021839181e-10,2.0,6211,True,3.2342886583129725e-12
MUSCLE_PROT_PR_DA,muscle,prot-pr,prot-pr,O00622,CCN1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,Endur.post_24_hr - Resist.post_24_hr (delta-delta),Endur_vs_Resist,EE-RE,post_24_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),-0.345630713806524,-0.5310541682751,-0.160207259337947,0.000296568271271,0.066751245244976,-3.67180289707542,-3.61827928020567,Post 24 h,5.0,Muscle protein,0.0667512452449712,27.0,6211,False,0.003558819255252
