source_object,tissue,assay,platform,feature_id,gene_symbol,contrast,contrast_short,contrast_type,contrast_category,Timepoint,full_model,logFC,CI.L_calculated,CI.R_calculated,p_value,adj_p_value,t,z.std,time_label,source_significant,time_order
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.149477635416154,-0.130476551595604,0.429431822427912,0.293278728532048,0.988378319957115,1.054387069303,1.05095615275829,Post 3.5 h,False,4.0
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta),Endur_vs_Resist,EE-RE,post_15_30_45_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.112482282466348,-0.0946773449209451,0.319641909853641,0.285187253595827,0.9962271718238,1.07233506339452,1.06873908701083,Post 30 min,False,3.0
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_10_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_10_min + group_timepointADUResist.pre_exercise,Endur.post_10_min - Resist.post_10_min (delta-delta),Endur_vs_Resist,EE-RE,post_10_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.144905466653064,-0.0608667837020738,0.350677717008202,0.16623699997129,0.472225868893699,1.39073973080031,1.38439676169491,Post 10 min,False,2.0
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,Endur.post_24_hr - Resist.post_24_hr (delta-delta),Endur_vs_Resist,EE-RE,post_24_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.213824380004419,-0.055329842016727,0.482978602025566,0.118653668147892,0.602624543962593,1.56874439050492,1.56044961378963,Post 24 h,False,5.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,Endur.post_24_hr - Resist.post_24_hr (delta-delta),Endur_vs_Resist,EE-RE,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.299362484737596,0.0146530395874099,0.584071929887782,0.0393923386736167,0.139312137796836,2.07012853747519,2.06006488090782,Post 24 h,False,5.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta),Endur_vs_Resist,EE-RE,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),1.04065738403174,0.795613286980713,1.28570148108277,2.3006903721783304e-15,4.22023303936578e-12,8.35672929078917,7.9239570947216,Post 15 min,True,3.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.253850856230846,-0.0501551545024975,0.557856866964189,0.101352885430549,0.230314492164202,1.64381500937849,1.63832993930497,Post 3.5 h,False,4.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_15_30_45_min + group_timepointADUResist.pre_exercise,Endur.post_15_30_45_min - Resist.post_15_30_45_min (delta-delta),Endur_vs_Resist,EE-RE,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.396903604734343,0.157327968622197,0.63647924084649,0.0012708581367588,0.31136024350591,3.26528481347736,3.22248050490762,Post 45 min,False,3.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_24_hr + group_timepointADUResist.pre_exercise,Endur.post_24_hr - Resist.post_24_hr (delta-delta),Endur_vs_Resist,EE-RE,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.0388175107406239,-0.187475750633577,0.265110772114824,0.735606662884544,0.999827188422841,0.338116652846719,0.337676928558851,Post 24 h,False,5.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise,Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta),Endur_vs_Resist,EE-RE,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.0333370506122161,-0.216149938939631,0.149475837715199,0.719516062645205,0.999161799173372,-0.35962059652352,-0.359105639852022,Post 4 h,False,4.0
