source_object,tissue,assay,platform,feature_id,gene_symbol,contrast,contrast_short,contrast_type,contrast_category,Timepoint,full_model,logFC,CI.L_calculated,CI.R_calculated,p_value,adj_p_value,t,z.std,time_label,source_significant,time_order,bh_recomputed,p_rank_in_assay,n_features_in_assay,holm_10_plasma_tests
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise,Endur.during_20_min - Control.during_20_min (delta-delta),exercise_with_controls,EE-CON,during_20_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.56809068997232,0.345205016860948,0.790976363083693,1.28585302244832e-06,0.0003644107465618,5.03373469468105,4.84192808790252,During 20 min,True,0.0,0.0003644107465618539,5.0,1417,1.28585302244832e-05
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.during_40_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_40_min + group_timepointADUControl.pre_exercise,Endur.during_40_min - Control.during_40_min (delta-delta),exercise_with_controls,EE-CON,during_40_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.560544271107797,0.332354424806367,0.788734117409227,2.88885102950083e-06,0.0002274167727112,4.85132618861542,4.67856818738367,During 40 min,True,1.0,0.00022741677271125976,18.0,1417,2.599965926550747e-05
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_10_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_10_min + group_timepointADUControl.pre_exercise,Endur.post_10_min - Control.post_10_min (delta-delta),exercise_with_controls,EE-CON,post_10_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.301787118543749,0.0789014454323654,0.524672791655132,0.0082736828351148,0.260529079496838,2.67407355169913,2.64069228296428,Post 10 min,False,2.0,0.2605290794968371,45.0,1417,0.0661894626809184
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta),exercise_with_controls,EE-CON,post_15_30_45_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.228112838021904,0.0008669619263706,0.455358714117436,0.0491427086991057,0.486348189620916,1.98246820009682,1.96735143851061,Post 30 min,False,3.0,0.48634818962091586,143.0,1417,0.3439989608937399
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta),exercise_with_controls,EE-CON,post_3.5_4_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.234084678382904,-0.0557834043322433,0.523952761098052,0.112724944829928,0.840104135438625,1.59477396494394,1.58606332722886,Post 3.5 h,False,4.0,0.840104135438627,188.0,1417,0.6763496689795679
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,Endur.post_24_hr - Control.post_24_hr (delta-delta),exercise_with_controls,EE-CON,post_24_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.149723489062961,-0.1230939787245,0.422540956850422,0.280082705158534,0.986437074865836,1.08377688733427,1.08013356922167,Post 24 h,False,5.0,0.9864370748658365,371.0,1417,1.0
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUResist.post_10_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_10_min + group_timepointADUControl.pre_exercise,Resist.post_10_min - Control.post_10_min (delta-delta),exercise_with_controls,RE-CON,post_10_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.156881651890685,-0.055302138499477,0.369065442280847,0.146200131411415,0.548752985009452,1.46019858891364,1.45308508589441,Post 10 min,False,2.0,0.548752985009451,376.0,1417,0.731000657057075
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta),exercise_with_controls,RE-CON,post_15_30_45_min,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.115630555555556,-0.0932423416707802,0.324503452781892,0.275901861563517,0.595238737377178,1.09332175147362,1.08957168490527,Post 30 min,False,3.0,0.5952387373771775,655.0,1417,1.0
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta),exercise_with_controls,RE-CON,post_3.5_4_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),0.08460704296675,-0.17707452124258,0.346288607176081,0.524065482964744,0.962028136058094,0.638479875704165,0.637091134473522,Post 3.5 h,False,4.0,0.9620281360580932,760.0,1417,1.0
BLOOD_PROT_OL_DA,blood,prot-ol,prot-ol,OID20976,CX3CL1,group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,Resist.post_24_hr - Control.post_24_hr (delta-delta),exercise_with_controls,RE-CON,post_24_hr,~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid),-0.0641008909414583,-0.332746237802072,0.204544455919155,0.638141945501281,0.791810102255092,-0.471186850018814,-0.470298252932243,Post 24 h,False,5.0,0.7918101022550921,1142.0,1417,1.0
