"source_object","tissue","assay","platform","feature_id","gene_symbol","contrast","contrast_short","contrast_type","contrast_category","Timepoint","full_model","logFC","CI.L_calculated","CI.R_calculated","p_value","adj_p_value","t","z.std"
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUResist.post_3.5_4_hr + group_timepointADUResist.pre_exercise","Endur.post_3.5_4_hr - Resist.post_3.5_4_hr (delta-delta)","Endur_vs_Resist","EE-RE","post_3.5_4_hr","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.149477635416154,-0.130476551595604,0.429431822427912,0.293278728532048,0.988378319957115,1.054387069303,1.05095615275829
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","EE-CON","post_15_30_45_min","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.228112838021904,0.000866961926370674,0.455358714117436,0.0491427086991057,0.486348189620916,1.98246820009682,1.96735143851061
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise","Endur.post_24_hr - Endur.pre_exercise","exercise_no_controls","EE-EE","post_24_hr","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.300503084079028,0.107283692922671,0.493722475235385,0.00250158922485094,0.232135135068657,3.07118237949547,3.02314914221702
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUControl.post_24_hr - group_timepointADUControl.pre_exercise","Control.post_24_hr - Control.pre_exercise","control_only","CON-CON","post_24_hr","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.150779595016067,-0.0418143744660051,0.343373564498139,0.124051747397985,0.494037583495975,1.54609567970738,1.53798718813604
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise","Resist.post_24_hr - Resist.pre_exercise","exercise_no_controls","RE-RE","post_24_hr","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.0866787040746086,-0.100556119767367,0.273913527916584,0.36200220973186,0.889007159774775,0.914116438415045,0.911556539065803
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUEndur.during_20_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.during_20_min + group_timepointADUControl.pre_exercise","Endur.during_20_min - Control.during_20_min (delta-delta)","exercise_with_controls","EE-CON","during_20_min","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.56809068997232,0.345205016860948,0.790976363083693,1.28585302244832e-06,0.000364410746561854,5.03373469468105,4.84192808790252
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUResist.post_10_min - group_timepointADUResist.pre_exercise","Resist.post_10_min - Resist.pre_exercise","exercise_no_controls","RE-RE","post_10_min","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.210856651890685,0.0735787151109451,0.348134588670425,0.00282217673353778,0.02419550533336,3.03340882493045,2.98647092498685
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise","Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta)","exercise_with_controls","RE-CON","post_15_30_45_min","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.115630555555556,-0.0932423416707802,0.324503452781892,0.275901861563517,0.595238737377178,1.09332175147362,1.08957168490527
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUEndur.post_10_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_10_min + group_timepointADUControl.pre_exercise","Endur.post_10_min - Control.post_10_min (delta-delta)","exercise_with_controls","EE-CON","post_10_min","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",0.301787118543749,0.0789014454323654,0.524672791655132,0.00827368283511482,0.260529079496838,2.67407355169913,2.64069228296428
"BLOOD_PROT_OL_DA","blood","prot-ol","prot-ol","OID20976","CX3CL1","group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise","Resist.post_24_hr - Control.post_24_hr (delta-delta)","exercise_with_controls","RE-CON","post_24_hr","~ 0 + group_timepoint +  BMI + calculatedAge + Sex + (1 | pid)",-0.0641008909414583,-0.332746237802072,0.204544455919155,0.638141945501281,0.791810102255092,-0.471186850018814,-0.470298252932243
