source_object,tissue,assay,platform,feature_id,gene_symbol,contrast,contrast_short,contrast_type,contrast_category,Timepoint,full_model,logFC,CI.L_calculated,CI.R_calculated,p_value,adj_p_value,t,z.std,time_label,source_significant,time_order
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta),exercise_with_controls,EE-CON,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.587781011563855,0.30693987842247,0.868622144705241,5.30284925264155e-05,0.0273164721757869,4.12547071294278,4.04186176240063,Post 45 min,True,3.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta),exercise_with_controls,EE-CON,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.143809043507776,-0.370618567878202,0.0830004808626496,0.212656315824484,0.888364674728322,-1.2502852954112,-1.24629444686521,Post 4 h,False,4.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,Endur.post_24_hr - Control.post_24_hr (delta-delta),exercise_with_controls,EE-CON,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.0116369962341265,-0.250715211068297,0.27398920353655,0.930404517127667,0.999984488297589,0.087440700376424,0.0873359022998,Post 24 h,False,5.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta),exercise_with_controls,RE-CON,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.190877406829512,-0.0915962529354457,0.473351066594469,0.184287426820571,0.813732442243683,1.33199337822024,1.32766915758218,Post 45 min,False,3.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUResist.post_3.5_4_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,Resist.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta),exercise_with_controls,RE-CON,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.11047199289556,-0.326832191550985,0.105888205759865,0.315213995846786,0.849831176353012,-1.00689325162145,-1.00434158512278,Post 4 h,False,4.0
ADIPOSE_TRNSCRPT_DA,adipose,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUResist.post_24_hr - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,Resist.post_24_hr - Control.post_24_hr (delta-delta),exercise_with_controls,RE-CON,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),-0.0271805145064974,-0.29090248868024,0.236541459667245,0.83919803918343,0.999660577093274,-0.203170108519936,-0.202919389166411,Post 24 h,False,5.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_15_30_45_min - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,Endur.post_15_30_45_min - Control.post_15_30_45_min (delta-delta),exercise_with_controls,EE-CON,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),3.62605042265678,3.27631629983293,3.97578454548064,3.33198728078686e-57,5.50077780185103e-53,20.4098405755052,15.9402162586385,Post 15 min,True,3.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_3.5_4_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_3.5_4_hr + group_timepointADUControl.pre_exercise,Endur.post_3.5_4_hr - Control.post_3.5_4_hr (delta-delta),exercise_with_controls,EE-CON,post_3.5_4_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.536484088624811,0.159574205283088,0.913393971966534,0.0054386138456871,0.0416447476708948,2.8021440407346,2.77983730672207,Post 3.5 h,True,4.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUEndur.post_24_hr - group_timepointADUEndur.pre_exercise - group_timepointADUControl.post_24_hr + group_timepointADUControl.pre_exercise,Endur.post_24_hr - Control.post_24_hr (delta-delta),exercise_with_controls,EE-CON,post_24_hr,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),0.127376763356873,-0.208772736035723,0.463526262749469,0.456328571859426,0.759577317074328,0.745955703294601,0.744905960040592,Post 24 h,False,5.0
MUSCLE_TRNSCRPT_DA,muscle,transcript-rna-seq,transcript-rna-seq,ENSG00000006210.7,CX3CL1,group_timepointADUResist.post_15_30_45_min - group_timepointADUResist.pre_exercise - group_timepointADUControl.post_15_30_45_min + group_timepointADUControl.pre_exercise,Resist.post_15_30_45_min - Control.post_15_30_45_min (delta-delta),exercise_with_controls,RE-CON,post_15_30_45_min,~ 0 + group_timepoint +  Batch + BMI + calculatedAge + codedsiteid + pct_umi_dup + RIN + Sex + (1 | pid),2.58539303862504,2.24158143033715,2.92920464691294,7.53441974115981e-37,1.55482169383509e-33,14.8038182147977,12.6810207845617,Post 15 min,True,3.0
