metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
1-Methyl nicotinamide,RM0030166,Alkaloids,Pyridine alkaloids,CHEBI:16797,CHEBI:16797,457,LDHMAVIPBRSVRG-UHFFFAOYSA-O,C02918,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
1-Methyladenosine,RM0156409,Nucleic acids,Purines,CHEBI:16020,CHEBI:16020,27476,GFYLSDSUCHVORB-IOSLPCCCSA-N,C02494,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
2-Acetylpyrrolidine,RM0029837,Alkaloids,Ornithine alkaloids,CHEBI:166577,CHEBI:166577,550747,FYCFJMPASVKULQ-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
2-Hydroxy-3-methylbutyric acid,RM0153673,Fatty Acyls,Fatty acids,CHEBI:60631,CHEBI:60631,853180,NGEWQZIDQIYUNV-BYPYZUCNSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
2-Hydroxybutyric acid,RM0153654,Fatty Acyls,Fatty acids,CHEBI:1148,CHEBI:1148,11266,AFENDNXGAFYKQO-UHFFFAOYSA-N,C05984,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
2-Hydroxyglutaric acid,RM0153554,Fatty Acyls,Fatty acids,CHEBI:17084,CHEBI:17084,43,HWXBTNAVRSUOJR-UHFFFAOYSA-N,,metab-t-tca,metab-t-tca,metab-t-tca
2-Oxoglutaric acid,RM0135911,Organic acids,TCA acids,CHEBI:30915,CHEBI:30915,51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
2-Piperidinone,RM0016041,Organoheterocyclic compounds,Piperidines,CHEBI:77761,CHEBI:77761,12665,XUWHAWMETYGRKB-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
3-Hydroxybenzoic acid,RM0136191,Benzenoids,Benzoic acids,CHEBI:30764,CHEBI:30764,7420,IJFXRHURBJZNAO-UHFFFAOYSA-N,C00587,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
3-Hydroxybutyric acid,RM0153056,Fatty Acyls,Fatty acids,CHEBI:20067,CHEBI:20067,441,WHBMMWSBFZVSSR-UHFFFAOYSA-N,C01089,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
3-Hydroxyphenyl valeric acid,RM0152303,Fatty Acyls,Fatty acids,CHEBI:137517,CHEBI:137517,10559720,CMLIEOOXQFWANJ-UHFFFAOYSA-N,,metab-u-rppos,metab-u-rppos,metab-u-rppos
3-Indolepropionic acid,RM0136180,Alkaloids,Tryptophan alkaloids,CHEBI:43580,CHEBI:43580,3744,GOLXRNDWAUTYKT-UHFFFAOYSA-N,,metab-u-rppos,metab-u-hilicpos,metab-u-rppos
3-Methyl-2-oxovaleric acid,RM0118344,Organic acids,Keto acids,CHEBI:35932,CHEBI:35932,47,JVQYSWDUAOAHFM-UHFFFAOYSA-N,C06008,metab-t-ka,metab-u-rpneg,metab-u-rpneg
5'-Methylthioadenosine,RM0136067,Nucleic acids,Purines,CHEBI:17509,CHEBI:17509,439176,WUUGFSXJNOTRMR-IOSLPCCCSA-N,C00170,metab-u-hilicpos,metab-u-rppos,metab-u-rppos
5-Hydroxytryptophol,RM0006649,Alkaloids,Tryptophan alkaloids,CHEBI:89825,CHEBI:89825,9061,KQROHCSYOGBQGJ-UHFFFAOYSA-N,,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
