gene_symbol,entrez_gene,uniprot,ensembl_gene,in_string,network_degree
AARSD1,80755,Q9BTE6,ENSG00000266967,TRUE,0
ABHD14B,84836,Q96IU4,ENSG00000114779,FALSE,0
ABL1,25,P00519,ENSG00000097007,TRUE,4
ACAA1,30,P09110,ENSG00000060971,TRUE,2
ACOX1,51,Q15067,ENSG00000161533,TRUE,2
ACP6,51205,Q9NPH0,ENSG00000162836,FALSE,0
ACTA2,59,P62736,ENSG00000107796,TRUE,0
ACTN4,81,O43707,ENSG00000130402,TRUE,2
ACY1,95,Q03154,ENSG00000243989,TRUE,1
ADA,100,P00813,ENSG00000196839,TRUE,4
ADAM15,8751,Q13444,ENSG00000143537,TRUE,2
ADGRE5,976,P48960,ENSG00000123146,TRUE,1
AGRN,375790,O00468,ENSG00000188157,TRUE,7
AHCY,191,P23526,ENSG00000101444,TRUE,2
AIF1,199,P55008,ENSG00000204472,TRUE,1
AIFM1,9131,O95831,ENSG00000156709,TRUE,1
AK1,203,P00568,ENSG00000106992,TRUE,3
AKR1B1,231,P15121,ENSG00000085662,TRUE,4
AKT1S1,84335,Q96B36,ENSG00000204673,TRUE,0
ALDH1A1,216,P00352,ENSG00000165092,TRUE,1
ANG,283,P03950,ENSG00000214274,TRUE,0
ANKRD54,129138,Q6NXT1,ENSG00000100124,FALSE,0
ANXA11,311,P50995,ENSG00000122359,TRUE,0
ANXA3,306,P12429,ENSG00000138772,FALSE,0
ANXA4,307,P09525,ENSG00000196975,TRUE,0
AOC3,8639,Q16853,ENSG00000131471,TRUE,4
APBB1IP,54518,Q7Z5R6,ENSG00000077420,TRUE,1
APEX1,328,P27695,ENSG00000100823,TRUE,3
APOM,55937,O95445,ENSG00000204444,TRUE,3
APP,351,P05067,ENSG00000142192,TRUE,9
APRT,353,P07741,ENSG00000198931,TRUE,6
ARHGAP1,392,Q07960,ENSG00000175220,TRUE,1
ARHGEF12,23365,Q9NZN5,ENSG00000196914,TRUE,1
ARSA,410,P15289,ENSG00000100299,TRUE,1
ARSB,411,P15848,ENSG00000113273,TRUE,1
ATOX1,475,O00244,ENSG00000177556,TRUE,0
ATP5IF1,93974,Q9UII2,ENSG00000130770,TRUE,0
ATP5PO,539,P48047,ENSG00000241837,TRUE,1
ATP6V1F,9296,Q16864,ENSG00000128524,TRUE,2
ATXN10,25814,Q9UBB4,ENSG00000130638,TRUE,0
BAG3,9531,O95817,ENSG00000151929,TRUE,5
BAG6,7917,P46379,ENSG00000204463,TRUE,0
BAX,581,Q07812,ENSG00000087088,TRUE,4
BCAM,4059,P50895,ENSG00000187244,TRUE,0
BID,637,P55957,ENSG00000015475,TRUE,9
BIN2,51411,Q9UBW5,ENSG00000110934,TRUE,0
BLMH,642,Q13867,ENSG00000108578,FALSE,0
BLVRB,645,P30043,ENSG00000090013,TRUE,2
BRK1,55845,Q8WUW1,ENSG00000254999,TRUE,1
BSG,682,P35613,ENSG00000172270,TRUE,3
BST2,684,Q10589,ENSG00000130303,TRUE,2
C19orf12,83636,Q9NSK7,ENSG00000131943,TRUE,0
C1QA,712,P02745,ENSG00000173372,TRUE,2
C2,717,P06681,ENSG00000166278,TRUE,2
C2CD2L,9854,O14523,ENSG00000172375,FALSE,0
CA2,760,P00918,ENSG00000104267,TRUE,0
CA4,762,P22748,ENSG00000167434,TRUE,0
CALCOCO1,57658,Q9P1Z2,ENSG00000012822,TRUE,0
CAPG,822,P40121,ENSG00000042493,TRUE,0
CARHSP1,23589,Q9Y2V2,ENSG00000153048,FALSE,0
CASP3,836,P42574,ENSG00000164305,TRUE,4
CC2D1A,54862,Q6P1N0,ENSG00000132024,TRUE,0
CCL5,6352,P13501,ENSG00000271503,TRUE,2
CCS,9973,O14618,ENSG00000173992,TRUE,1
CCT5,22948,P48643,ENSG00000150753,TRUE,5
CD109,135228,Q6YHK3,ENSG00000156535,TRUE,1
CD14,929,P08571,ENSG00000170458,TRUE,0
CD163,9332,Q86VB7,ENSG00000177575,TRUE,2
CD2AP,23607,Q9Y5K6,ENSG00000198087,TRUE,2
CD34,947,P28906,ENSG00000174059,TRUE,16
CD38,952,P28907,ENSG00000004468,TRUE,9
CD46,4179,P15529,ENSG00000117335,TRUE,2
CD55,1604,P08174,ENSG00000196352,TRUE,4
CD59,966,P13987,ENSG00000085063,TRUE,1
CD63,967,P08962,ENSG00000135404,TRUE,3
CD74,972,P04233,ENSG00000019582,TRUE,7
CD93,22918,Q9NPY3,ENSG00000125810,TRUE,1
CD99,4267,P14209,ENSG00000002586,TRUE,4
CD99L2,83692,Q8TCZ2,ENSG00000102181,TRUE,2
CDC27,996,P30260,ENSG00000004897,TRUE,0
CDC37,11140,Q16543,ENSG00000105401,TRUE,8
CDNF,441549,Q49AH0,ENSG00000185267,TRUE,0
CEBPB,1051,P17676,ENSG00000172216,TRUE,2
CEP43,11116,O95684,ENSG00000213066,TRUE,0
CERT1,10087,Q9Y5P4,ENSG00000113163,TRUE,1
CES1,1066,P23141,ENSG00000198848,TRUE,2
CES2,8824,O00748,ENSG00000172831,TRUE,1
CETN2,1069,P41208,ENSG00000147400,TRUE,2
CHMP1A,5119,Q9HD42,ENSG00000131165,TRUE,2
CIAPIN1,57019,Q6FI81,ENSG00000005194,TRUE,0
CKAP4,10970,Q07065,ENSG00000136026,TRUE,0
CLIP2,7461,Q9UDT6,ENSG00000106665,TRUE,0
CLPP,8192,Q16740,ENSG00000125656,TRUE,0
CLTA,1211,P09496,ENSG00000122705,TRUE,0
CNPY2,10330,Q9Y2B0,ENSG00000257727,TRUE,0
CNST,163882,Q6PJW8,ENSG00000162852,TRUE,1
COL18A1,80781,P39060,ENSG00000182871,TRUE,4
COL4A1,1282,P02462,ENSG00000187498,TRUE,2
COL6A3,1293,P12111,ENSG00000163359,TRUE,1
COMT,1312,P21964,ENSG00000093010,TRUE,2
COPE,11316,O14579,ENSG00000105669,TRUE,0
CORO1A,11151,P31146,ENSG00000102879,TRUE,0
COX5B,1329,P10606,ENSG00000135940,TRUE,1
CPPED1,55313,Q9BRF8,ENSG00000103381,TRUE,0
CPVL,54504,Q9H3G5,ENSG00000106066,FALSE,0
CRADD,8738,P78560,ENSG00000169372,TRUE,1
CRELD2,79174,Q6UXH1,ENSG00000184164,TRUE,2
CRIP2,1397,P52943,ENSG00000182809,FALSE,0
CRKL,1399,P46109,ENSG00000099942,TRUE,5
CST3,1471,P01034,ENSG00000101439,TRUE,1
CSTB,1476,P04080,ENSG00000160213,TRUE,2
CTSB,1508,P07858,ENSG00000164733,TRUE,8
CTSC,1075,P53634,ENSG00000109861,TRUE,1
CTSD,1509,P07339,ENSG00000117984,TRUE,3
CTSF,8722,Q9UBX1,ENSG00000174080,TRUE,1
CTSH,1512,P09668,ENSG00000103811,TRUE,2
CTSL,1514,P07711,ENSG00000135047,TRUE,6
CTSZ,1522,Q9UBR2,ENSG00000101160,TRUE,1
DAB2,1601,P98082,ENSG00000153071,TRUE,0
DAG1,1605,Q14118,ENSG00000173402,TRUE,2
DARS1,1615,P14868,ENSG00000115866,TRUE,0
DBI,1622,P07108,ENSG00000155368,TRUE,3
DBNL,28988,Q9UJU6,ENSG00000136279,TRUE,0
DCTN1,1639,Q14203,ENSG00000204843,TRUE,4
DCTN2,10540,Q13561,ENSG00000175203,TRUE,2
DCTN6,10671,O00399,ENSG00000104671,TRUE,2
DCTPP1,79077,Q9H773,ENSG00000179958,TRUE,4
DCXR,51181,Q7Z4W1,ENSG00000169738,TRUE,2
DECR1,1666,Q16698,ENSG00000104325,TRUE,0
DFFA,1676,O00273,ENSG00000160049,TRUE,0
DIABLO,56616,Q9NR28,ENSG00000184047,TRUE,3
DNAJA2,10294,O60884,ENSG00000069345,TRUE,1
DNAJB1,3337,P25685,ENSG00000132002,TRUE,9
DNMBP,23268,Q6XZF7,ENSG00000107554,TRUE,0
DNPH1,10591,O43598,ENSG00000112667,FALSE,0
DPP7,29952,Q9UHL4,ENSG00000176978,TRUE,0
DPY30,84661,Q9C005,ENSG00000162961,TRUE,0
DRG2,1819,P55039,ENSG00000108591,TRUE,1
DUSP3,1845,P51452,ENSG00000108861,TRUE,1
EGLN1,54583,Q9GZT9,ENSG00000135766,TRUE,0
EIF4B,1975,P23588,ENSG00000063046,TRUE,1
EIF4G1,1981,Q04637,ENSG00000114867,TRUE,4
EIF5A,1984,P63241,ENSG00000132507,TRUE,1
ELOA,6924,Q14241,ENSG00000011007,TRUE,0
ENAH,55740,Q8N8S7,ENSG00000154380,TRUE,2
ENG,2022,P17813,ENSG00000106991,TRUE,6
ENO1,2023,P06733,ENSG00000074800,TRUE,2
ENO2,2026,P09104,ENSG00000111674,TRUE,3
ENTPD5,957,O75356,ENSG00000187097,TRUE,3
EPHX2,2053,P34913,ENSG00000120915,TRUE,4
ERBIN,55914,Q96RT1,ENSG00000112851,TRUE,0
ERP44,23071,Q9BS26,ENSG00000023318,TRUE,0
ESAM,90952,Q96AP7,ENSG00000149564,TRUE,0
EZR,7430,P15311,ENSG00000092820,TRUE,4
F11R,50848,Q9Y624,ENSG00000158769,TRUE,2
FABP5,2171,Q01469,ENSG00000164687,TRUE,0
FADD,8772,Q13158,ENSG00000168040,TRUE,5
FAM3C,10447,Q92520,ENSG00000196937,TRUE,0
FCGR3B,2215,O75015,ENSG00000162747,TRUE,7
FEN1,2237,P39748,ENSG00000168496,TRUE,2
FHIT,2272,P49789,ENSG00000189283,TRUE,1
FIS1,51024,Q9Y3D6,ENSG00000214253,TRUE,1
FKBP4,2288,Q02790,ENSG00000004478,TRUE,3
FKBP5,2289,Q13451,ENSG00000096060,TRUE,4
FKBP7,51661,Q9Y680,ENSG00000079150,FALSE,0
FOLR2,2350,P14207,ENSG00000165457,TRUE,1
FOXO1,2308,Q12778,ENSG00000150907,TRUE,6
FOXO3,2309,O43524,ENSG00000118689,TRUE,4
FUCA1,2517,P04066,ENSG00000179163,TRUE,0
FUS,2521,P35637,ENSG00000089280,TRUE,1
FXN,2395,Q16595,ENSG00000165060,TRUE,2
GALNT2,2590,Q10471,ENSG00000143641,TRUE,0
GBP4,115361,Q96PP9,ENSG00000162654,TRUE,0
GFER,2671,P55789,ENSG00000127554,TRUE,0
GGA1,26088,Q9UJY5,ENSG00000100083,TRUE,2
GGH,8836,Q92820,ENSG00000137563,TRUE,1
GGT5,2687,P36269,ENSG00000099998,TRUE,2
GLB1,2720,P16278,ENSG00000170266,TRUE,2
GLO1,2739,Q04760,ENSG00000124767,TRUE,2
GLOD4,51031,Q9HC38,ENSG00000167699,TRUE,0
GLRX,2745,P35754,ENSG00000173221,TRUE,1
GMPR,2766,P36959,ENSG00000137198,TRUE,5
GOLM2,113201,Q6P4E1,ENSG00000166734,FALSE,0
GOPC,57120,Q9HD26,ENSG00000047932,TRUE,1
GP1BA,2811,P07359,ENSG00000185245,TRUE,3
GPC1,2817,P35052,ENSG00000063660,TRUE,3
GPKOW,27238,Q92917,ENSG00000068394,TRUE,1
GPNMB,10457,Q14956,ENSG00000136235,TRUE,0
GRN,2896,P28799,ENSG00000030582,TRUE,2
GRPEL1,80273,Q9HAV7,ENSG00000109519,TRUE,1
GSTP1,2950,P09211,ENSG00000084207,TRUE,2
GYS1,2997,P13807,ENSG00000104812,TRUE,1
HAGH,3029,Q16775,ENSG00000063854,TRUE,1
HARS1,3035,P12081,ENSG00000170445,TRUE,0
HCLS1,3059,P14317,ENSG00000180353,TRUE,4
HDGF,3068,P51858,ENSG00000143321,TRUE,0
HEBP1,50865,Q9NRV9,ENSG00000013583,TRUE,0
HEXIM1,10614,O94992,ENSG00000186834,TRUE,0
HGS,9146,O14964,ENSG00000185359,TRUE,2
HLA-DRA,3122,P01903,ENSG00000204287,TRUE,3
HLA-E,3133,P13747,ENSG00000204592,TRUE,1
HMBS,3145,P08397,ENSG00000256269,TRUE,0
HMOX1,3162,P09601,ENSG00000100292,TRUE,3
HMOX2,3163,P30519,ENSG00000103415,TRUE,3
HNMT,3176,P50135,ENSG00000150540,TRUE,0
HNRNPK,3190,P61978,ENSG00000165119,TRUE,1
HPCAL1,3241,P37235,ENSG00000115756,FALSE,0
HSP90B1,7184,P14625,ENSG00000166598,TRUE,6
HSPA1A,3303,P0DMV8,ENSG00000204389,TRUE,3
HSPB1,3315,P04792,ENSG00000106211,TRUE,5
HSPB6,126393,O14558,ENSG00000004776,TRUE,2
HSPG2,3339,P98160,ENSG00000142798,TRUE,6
HTRA2,27429,O43464,ENSG00000115317,TRUE,1
HYOU1,10525,Q9Y4L1,ENSG00000149428,TRUE,3
ICAM1,3383,P05362,ENSG00000090339,TRUE,10
ICAM2,3384,P13598,ENSG00000108622,TRUE,4
IGF2R,3482,P11717,ENSG00000197081,TRUE,3
IGFBP3,3486,P17936,ENSG00000146674,TRUE,0
IGFBP4,3487,P22692,ENSG00000141753,TRUE,0
IGFBP6,3489,P24592,ENSG00000167779,TRUE,0
IGFBP7,3490,Q16270,ENSG00000163453,TRUE,0
IKBKG,8517,Q9Y6K9,ENSG00000269335,TRUE,5
IL16,3603,Q14005,ENSG00000172349,TRUE,1
IL18,3606,Q14116,ENSG00000150782,TRUE,1
ILKAP,80895,Q9H0C8,ENSG00000132323,FALSE,0
IMPA1,3612,P29218,ENSG00000133731,TRUE,1
