"assay","feature_id","gene_symbol"
"epigen-atac-seq","chr16:57371275-57373273","CX3CL1"
"epigen-atac-seq","chr16:57373285-57373801","CX3CL1"
"epigen-atac-seq","chr16:57377259-57377735","CX3CL1"
"epigen-atac-seq","chr16:57381170-57381566","CX3CL1"
"epigen-atac-seq","chr16:57382137-57383346","CX3CL1"
"epigen-atac-seq","chr16:57383359-57384966","CX3CL1"
"epigen-methylcap-seq","chr16:57372345-57372381","CX3CL1"
"epigen-methylcap-seq","chr16:57377542-57377542","CX3CL1"
"epigen-methylcap-seq","chr16:57377593-57377593","CX3CL1"
"epigen-methylcap-seq","chr16:57381865-57381865","CX3CL1"
"epigen-methylcap-seq","chr16:57381898-57381898","CX3CL1"
"epigen-methylcap-seq","chr16:57381926-57381926","CX3CL1"
"epigen-methylcap-seq","chr16:57381971-57381971","CX3CL1"
"epigen-methylcap-seq","chr16:57381979-57381979","CX3CL1"
"epigen-methylcap-seq","chr16:57382004-57382004","CX3CL1"
"epigen-methylcap-seq","chr16:57382038-57382038","CX3CL1"
"epigen-methylcap-seq","chr16:57382063-57382063","CX3CL1"
"epigen-methylcap-seq","chr16:57382068-57382068","CX3CL1"
"epigen-methylcap-seq","chr16:57382090-57382090","CX3CL1"
"epigen-methylcap-seq","chr16:57382092-57382092","CX3CL1"
"epigen-methylcap-seq","chr16:57382109-57382109","CX3CL1"
"epigen-methylcap-seq","chr16:57382130-57382130","CX3CL1"
"epigen-methylcap-seq","chr16:57382138-57382138","CX3CL1"
"epigen-methylcap-seq","chr16:57382147-57382147","CX3CL1"
"epigen-methylcap-seq","chr16:57382159-57382159","CX3CL1"
"epigen-methylcap-seq","chr16:57382162-57382162","CX3CL1"
"epigen-methylcap-seq","chr16:57382311-57382311","CX3CL1"
"epigen-methylcap-seq","chr16:57382314-57382314","CX3CL1"
"epigen-methylcap-seq","chr16:57382318-57382318","CX3CL1"
"epigen-methylcap-seq","chr16:57382350-57382350","CX3CL1"
"epigen-methylcap-seq","chr16:57382353-57382353","CX3CL1"
"epigen-methylcap-seq","chr16:57382386-57382386","CX3CL1"
"epigen-methylcap-seq","chr16:57382397-57382397","CX3CL1"
"epigen-methylcap-seq","chr16:57382408-57382408","CX3CL1"
"epigen-methylcap-seq","chr16:57382420-57382420","CX3CL1"
"epigen-methylcap-seq","chr16:57382425-57382425","CX3CL1"
"epigen-methylcap-seq","chr16:57386449-57386449","CX3CL1"
"epigen-methylcap-seq","chr16:57386494-57386494","CX3CL1"
"epigen-methylcap-seq","chr16:57386509-57386509","CX3CL1"
"epigen-methylcap-seq","chr16:57386555-57386555","CX3CL1"
"prot-ol","OID20976","CX3CL1"
"transcript-rna-seq","ENSG00000006210.7","CX3CL1"
