"assay","feature_id","gene_symbol","entrez_gene","ensembl_gene","uniprot"
"epigen-atac-seq","chr1:85580086-85580316","CCN1","3491","ENSG00000142871",NA
"epigen-atac-seq","chr1:85580394-85581757","CCN1","3491","ENSG00000142871",NA
"epigen-atac-seq","chr1:85582000-85582695","CCN1","3491","ENSG00000142871",NA
"epigen-atac-seq","chr1:85583979-85584623","CCN1","3491","ENSG00000142871",NA
"epigen-atac-seq","chr1:85585945-85586174","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579752-85579752","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579762-85579762","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579778-85579778","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579791-85579791","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579816-85579816","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579816-85579844","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579828-85579828","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579830-85579830","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579830-85579834","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579834-85579834","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579844-85579844","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85579971-85579971","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580641-85580710","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580680-85580682","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580694-85580694","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580694-85580697","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580697-85580697","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580710-85580710","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580715-85580715","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580721-85580721","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580724-85580724","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580729-85580729","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580740-85580740","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580747-85580747","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580752-85580752","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580976-85580976","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580978-85580978","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580994-85580994","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85580999-85580999","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581007-85581007","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581007-85581020","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581011-85581011","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581020-85581020","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581081-85581081","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581085-85581085","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581122-85581122","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581484-85581501","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581511-85581511","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581541-85581541","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581544-85581544","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85581556-85581556","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85582824-85582824","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85582838-85582838","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85582847-85582847","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85582853-85582853","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85584342-85584342","CCN1","3491","ENSG00000142871",NA
"epigen-methylcap-seq","chr1:85584409-85584409","CCN1","3491","ENSG00000142871",NA
